Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
counterbalance,True,1,000001,Ev,,True,2,000011,Ev,Sn,0.19,0.071,0.03,0.219,0.732,0.951,0.190113,0.835079,0,0.070608,0.651832,0,0.029874,0.554974,0,0.218591,0.667539,0,0.732104,0.670157,1,0.950756,0.759162,1,0,0,0,0,0,1
cover,True,1,100000,Kn,,True,2,110000,Kn,Cm,0.873,0.703,0.383,0.347,0.242,0.579,0.87277,0.835079,1,0.702507,0.651832,1,0.382643,0.554974,0,0.34709,0.667539,0,0.242478,0.670157,0,0.579483,0.759162,0,1,0,0,0,0,0
crack,True,2,000101,An,Ev,True,2,000101,An,Ev,0.299,0.028,0.059,0.846,0.146,0.834,0.298584,0.835079,0,0.027939,0.651832,0,0.059209,0.554974,0,0.846053,0.667539,1,0.146039,0.670157,0,0.833827,0.759162,1,0,0,0,1,0,1
crawl,True,1,100000,Kn,,True,3,101100,Kn,"Ap, An",0.965,0.161,0.531,0.859,0.058,0.081,0.964558,0.835079,1,0.160789,0.651832,0,0.530712,0.554974,0,0.858524,0.667539,1,0.058081,0.670157,0,0.080649,0.759162,0,1,0,0,0,0,0
creep,True,1,000100,An,,True,2,100100,An,Kn,0.817,0.449,0.212,0.837,0.096,0.092,0.81651,0.835079,0,0.448938,0.651832,0,0.211888,0.554974,0,0.836857,0.667539,1,0.09582,0.670157,0,0.092123,0.759162,0,0,0,0,1,0,0
crowd,True,1,010000,Cm,,True,2,110000,Cm,Kn,0.738,0.776,0.162,0.567,0.425,0.56,0.737511,0.835079,0,0.775716,0.651832,1,0.161802,0.554974,0,0.566703,0.667539,0,0.424877,0.670157,0,0.559709,0.759162,0,0,1,0,0,0,0
crumble,True,1,000001,Ev,,True,3,000111,Ev,"An, Sn",0.266,0.326,0.149,0.627,0.599,0.886,0.265921,0.835079,0,0.326267,0.651832,0,0.149008,0.554974,0,0.626549,0.667539,0,0.598891,0.670157,0,0.885708,0.759162,1,0,0,0,0,0,1
crumple,True,1,000100,An,,True,2,010100,An,Cm,0.315,0.655,0.018,0.859,0.564,0.414,0.314544,0.835079,0,0.655287,0.651832,1,0.017714,0.554974,0,0.859024,0.667539,1,0.564009,0.670157,0,0.414294,0.759162,0,0,0,0,1,0,0
crush,True,1,100000,Kn,,True,1,100000,Kn,,0.96,0.476,0.447,0.282,0.245,0.485,0.959556,0.835079,1,0.475896,0.651832,0,0.446984,0.554974,0,0.281785,0.667539,0,0.244546,0.670157,0,0.484883,0.759162,0,1,0,0,0,0,0
cry,False,0,000000,,,True,1,100000,Kn,,0.767,0.326,0.439,0.421,0.529,0.57,0.766992,0.835079,0,0.326433,0.651832,0,0.438838,0.554974,0,0.421196,0.667539,0,0.529356,0.670157,0,0.570225,0.759162,0,0,0,0,0,0,0
crystallize,False,0,000000,,,True,2,000110,Sn,An,0.051,0.383,0.148,0.581,0.662,0.345,0.051426,0.835079,0,0.383122,0.651832,0,0.148437,0.554974,0,0.580652,0.667539,0,0.661929,0.670157,0,0.345177,0.759162,0,0,0,0,0,0,0
